asin,Title,Rating,NumberOfReviews,Price,AvailableSizes,AvailableColors,BulletPoints,SellerRank,dimensions
B08BYFSCYQ,Boys Sweatshirts Cotton Long Sleeve Crewneck Pullover Toddler Kids Winter Warm Shirt Sweater Tops 3t-8t,4.7,"1,259 ratings",,"2T, 3T, 4T, 5T, 6 Years, 7 Years, 8 Years","Blue/Planet Print, Blue/Space, Yellow / Excavator, 02 Dinosaur Print, Black / Dinosaur, Elephant Print, Green/Truck, Grey/T-rex, Truck / Blue, 01 Excavator Print, Shark, Grey/Dino, Grey/Truck, Yellow/Dino, Dinosaur Print, T-rex Print, Grey / Bus Print","Material:80% Cotton,20% Polyester, Imported, Pullover closure, Machine Wash, Comfy feeling:Super soft boys sweatshirts,ensure kids feels comfortable,and can keep warm in autumn and winter, Features:Planets for kids solar system,Space shirt,Long sleeve,Crew neck,Baby boy pullover sweatshirt,Cotton fabric,Casual Style, Imaginative style:Boys galaxy sweatshirt is cool which will be a great surprise for baby boys as Birthday gifts,Christmas gifts or Halloween gifts ect, Great for everyday wear:This cute kids sweater perfect as casual day wear,sportwear,boy outfits,school,holiday,party,xmas wear etc.Easily match it with all kinds of pants and coats, About the boys tops size: 2T-7T.Suitable for 1-8 years old boys.( Please check the product description carefully before ordering.)",,<span>10.16 x 8.54 x 0.94 inches; 0.01 Ounces</span>
B09FTDVM86,Amazon Essentials Boys and Toddlers' Uniform Cotton Crew-Neck Sweaters,4.4,167 ratings,,"2T, 3T, 4T, X-Small, Small, Medium, Large, X-Large, XX-Large","Black, Burgundy, Charcoal Heather, Green, Light Grey Heather, Navy, Red",,,
B09D78YMK1,Unisex Kids Solid Cotton Pullover Sweatshirt Sweater Toddler Baby Boy Girl Crewneck Long Sleeve Tops Blouse 1-7Y,5.0,9 ratings,,"1-2T, 2-3T, 3-4T, 4-5T, 5-6 Years, 6-7 Years","Beige, Brown, Green, Purple, Black, Light Brown, Navy Blue, Yellow",,,
B099PKBPRJ,AQEACARMON Baby Boys Knit Sweater Round Collar Striped Sweatshirt Cotton Pullover Sweater,4.7,17 ratings,,"2T, 3T, 4T, 5T, 6 Years, 6-7 Years, 7 Years","Dinosaur, Grey Camouflage, Stripes Blue, Stripes Dark Blue, Stripes Gray, Red Dump Truck, Light Blue Zebra, Rainbow","100% Cotton, Machine Wash, Material :Little baby Cotton sweaters, unique technology makes it soft, breathable and quite comfortable wearing. Adopt safe raw materials, no harsh chemicals against eco-friendly to baby's tender skin., Design：Classic round neck striped long-sleeved cartoon dinosaur camouflage whale rainbow sweater, easy to match different styles of clothes and shirts, knitted ribbed hem for easy wear and tear., Occasion: Comfortable, breathable and soft, suitable for infant baby daily wear, whether in spring or autumn when they at picnic, camp, hike, home and school., Suitable for 2T / 3T / 4T / 5T / 6T/7T /8T/kids., Machine washable,we recommend using wash bag to protect the knit sweater when machine washing.",,<span>9.9 x 6.8 x 1.7 inches; 8.01 Ounces</span>
B08ZN1L4MC,Kid Nation Hoodies for Boys 100% Cotton with Pocket Kids Sweaters Toddler Striped Pullover Knit Sweatshirts,4.8,16 ratings,,"5-6 Years, 7-8 Years, 9-10 Years, 11-12 Years","Grey+coffee+navy, Grey+navy+green, White+navy+red, Navy, White",,,
B07DQ8D9ZZ,Amazon Essentials Boys and Uniform Cotton V-Neck Sweater,4.5,"1,507 ratings",,"2T, 3T, 4T, X-Small, Small, Medium, Large, X-Large, XX-Large","Black, Burgundy, Charcoal Heather, Green, Light Grey Heather, Navy, Red, Rich Burgundy, Dark Navy",,,
B07XWBL66N,"DAIMIDY Boy's Cable Knit Chunky Cardigan Sweater, 2-10 Years",4.6,128 ratings,,"12-18 Months, 18-24 Months, 2-3T, 3-4T, 4-5T, 6-7 Years, 7-8 Years, 9-10 Years","Beige, Gray, Green, Navy, Red, Beige - 1, Blue - 1, Green - 1, A-black",,,
B07XWDGC41,"DAIMIDY Boy's Cable Knit Chunky Cardigan Sweater, 2-10 Years",4.6,128 ratings,,"12-18 Months, 18-24 Months, 2-3T, 3-4T, 4-5T, 6-7 Years, 7-8 Years, 9-10 Years","Beige, Gray, Green, Navy, Red, Beige - 1, Blue - 1, Green - 1, A-black",,,
B07XWHXR49,"DAIMIDY Boy's Cable Knit Chunky Cardigan Sweater, 2-10 Years",4.6,128 ratings,,"12-18 Months, 18-24 Months, 2-3T, 3-4T, 4-5T, 6-7 Years, 7-8 Years, 9-10 Years","Beige, Gray, Green, Navy, Red, Beige - 1, Blue - 1, Green - 1, A-black","100% Cotton, Hand Wash Only, Material: 100% Cotton, Soft, breathable and skin-friendly fabric with comfy wearing feeling, V Neck, button closure, cable knit cardigan sweater is a must have fashion item, This cardigan sweater came with multiple colors for you to choose, Occasion: daily wear, take photo, school, wedding, family dinner, birthday and any occasions, Gently Hand Wash, Do not Bleach",,<span>12.6 x 8.74 x 1.69 inches; 9.59 Ounces</span>
B00XPFB6BO,Hanes Boys Eco Smart Crew,4.4,"2,080 ratings",,"X-Small, Small, Medium, Large, X-Large","Black, Deep Forest, Deep Red, Deep Royal, Light Blue, Light Steel, Navy",,,<span>9.4 x 8.9 x 2 inches; 10.4 Ounces</span>
B07D5QB9KN,Baby Boys Girls Crochet Sweater Infant Kids Cable Knit Cotton Cardigans Casual Long Sleeve Pullover Fall Winter 6M-4T,4.7,410 ratings,,"6 Months, 1T, 2T, 3T, 4T","Army Green, Caramel, Haze Blue, Khaki, Navy, Pink, White, Yellow, Blue",,,<span>11.81 x 7.87 x 0.79 inches; 5.82 Ounces</span>
B075RDGXYQ,Amazon Essentials Boys' Pullover Sweater,4.7,"1,604 ratings",,"3-4T, 5-6 Years, 7-8 Years, 8-10 Years, 10-12 Years, 12-14 Years, 15-16 Years","Black/White, Blue, Coffee, Cream, Dark Gray, Dark Green, Dark Red, Gray, Olivine, Orange, Peach Beige, Red, White, Navy, Orange/Blue/Navy, Yellow, Green/White/Navy, Light Blue, Red/White/Navy, Green, Black","100% Cotton, Imported, Zipper closure, Machine Wash, This product was previously sold as Kid Nation and now as Amazon Essentials, Soft and Safe: 100% cotton, soft, not scratchy or itchy, anti-pilling, and anti-static. The products were tested by MTS and have CPC certificates, and are environmentally friendly and safe for kids., 1/4 Zipper: This pullover features a ribbed neckline and a quarter zipper, fully wrapped to prevent contacting the skin., Warm & Fashion: Ribbed cuff and hem for warmth, Inside collar with contrast color, fashionable cable knit design., Perfect size and multi occasions: Sizes available for kids between 3 - 14 years old. The sweater is slim fit, and we recommend you order one size bigger for a regular and loose fit. Easy to match both school uniform and casual weekend outfits for multiple seasons., Care: We recommend hand wash, and it can be machine washed. It won't fade or shrink easily with additional nylon., Gift packaged",,<span>15.63 x 12.13 x 1.18 inches; 7.83 Ounces</span>
